Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2019,Q4,Arunachal Pradesh,Siang,1131,19220,16.993810786914235
2019,Q4,Arunachal Pradesh,Kra Daadi,603,13700,22.71973466003317
2019,Q4,Arunachal Pradesh,Changlang,9662,152680,15.80211136410681
2019,Q4,Arunachal Pradesh,Pakke Kessang,296,5981,20.20608108108108
2019,Q4,Arunachal Pradesh,East Siang,9859,132534,13.442945532001216
2019,Q4,Arunachal Pradesh,Upper Subansiri,3144,42354,13.471374045801527
2019,Q4,Arunachal Pradesh,Tawang,7303,139898,19.156237162809806
2019,Q4,Arunachal Pradesh,Namsai,5190,87627,16.883815028901733
2020,Q1,Arunachal Pradesh,Lower Subansiri,4351,72887,16.751781199724203
2020,Q1,Arunachal Pradesh,Tirap,4261,76554,17.966205116169913
2020,Q1,Arunachal Pradesh,Papum Pare,51342,819599,15.963519146118188
2020,Q1,Arunachal Pradesh,Anjaw,1747,25453,14.569547796222095
2020,Q1,Arunachal Pradesh,Lower Siang,2201,35216,16.0
2020,Q1,Arunachal Pradesh,Dibang Valley,320,2195,6.859375
2020,Q1,Arunachal Pradesh,West Kameng,13983,332479,23.777372523778876
2020,Q1,Arunachal Pradesh,Shi Yomi,290,989,3.410344827586207
2020,Q1,Arunachal Pradesh,East Kameng,1962,37103,18.91080530071356
2020,Q1,Arunachal Pradesh,Lohit,8454,159158,18.82635438845517
2020,Q1,Arunachal Pradesh,Lepa Rada,1532,28280,18.45953002610966
2020,Q1,Arunachal Pradesh,Lower Dibang Valley,4650,71091,15.288387096774194
2020,Q1,Arunachal Pradesh,Longding,2201,58817,26.7228532485234
2020,Q1,Arunachal Pradesh,West Siang,5757,97255,16.89334722945979
2020,Q1,Arunachal Pradesh,Kamle,373,7135,19.128686327077748
2020,Q1,Arunachal Pradesh,Upper Siang,2143,37600,17.545496966868875
2020,Q1,Arunachal Pradesh,Kurung Kumey,725,11471,15.822068965517241
2020,Q1,Arunachal Pradesh,Siang,1390,24530,17.64748201438849
2020,Q1,Arunachal Pradesh,Kra Daadi,701,16770,23.922967189728958
2020,Q1,Arunachal Pradesh,Changlang,11262,201632,17.903747114189308
2020,Q1,Arunachal Pradesh,Pakke Kessang,371,9758,26.30188679245283
2020,Q1,Arunachal Pradesh,East Siang,11298,167166,14.796070100902815
2020,Q1,Arunachal Pradesh,Upper Subansiri,3675,56522,15.380136054421769
2020,Q1,Arunachal Pradesh,Tawang,8048,138728,17.237574552683895
2020,Q1,Arunachal Pradesh,Namsai,6029,109933,18.234035495106983
2020,Q2,Arunachal Pradesh,Lower Subansiri,5392,108893,20.195289317507417
2020,Q2,Arunachal Pradesh,Tirap,5239,114770,21.90685245275816
2020,Q2,Arunachal Pradesh,Papum Pare,59968,932769,15.554445704375667
2020,Q2,Arunachal Pradesh,Anjaw,1961,34903,17.798572157062722
2020,Q2,Arunachal Pradesh,Lower Siang,2644,48738,18.43343419062027
2020,Q2,Arunachal Pradesh,Dibang Valley,367,4076,11.106267029972752
2020,Q2,Arunachal Pradesh,West Kameng,15766,394250,25.006342762907522
2020,Q2,Arunachal Pradesh,Shi Yomi,320,1597,4.990625
2020,Q2,Arunachal Pradesh,East Kameng,2506,53112,21.19393455706305
2020,Q2,Arunachal Pradesh,Lohit,10154,219948,21.661217254284026
2020,Q2,Arunachal Pradesh,Lepa Rada,1890,38098,20.15767195767196
2020,Q2,Arunachal Pradesh,Lower Dibang Valley,5782,110670,19.140435835351088
2020,Q2,Arunachal Pradesh,Longding,2751,86086,31.29262086513995
2020,Q2,Arunachal Pradesh,West Siang,7239,147515,20.377814615278353
2020,Q2,Arunachal Pradesh,Kamle,509,11566,22.722986247544203
2020,Q2,Arunachal Pradesh,Upper Siang,2552,54123,21.20807210031348
2020,Q2,Arunachal Pradesh,Kurung Kumey,834,16738,20.069544364508392
2020,Q2,Arunachal Pradesh,Siang,1831,40101,21.901146914254507
2020,Q2,Arunachal Pradesh,Kra Daadi,870,25480,29.28735632183908
2020,Q2,Arunachal Pradesh,Changlang,14036,293705,20.925121117127386
2020,Q2,Arunachal Pradesh,Pakke Kessang,438,13500,30.82191780821918
2020,Q2,Arunachal Pradesh,East Siang,13601,235755,17.333651937357548
2020,Q2,Arunachal Pradesh,Upper Subansiri,4465,80310,17.986562150055992
2020,Q2,Arunachal Pradesh,Tawang,8993,170812,18.993884132102746
2020,Q2,Arunachal Pradesh,Namsai,7426,149491,20.13075680043092
2020,Q3,Arunachal Pradesh,Lower Subansiri,6456,117359,18.178283767038415
2020,Q3,Arunachal Pradesh,Tirap,6119,125437,20.499591436509235
2020,Q3,Arunachal Pradesh,Papum Pare,69419,1157730,16.67742260764344
2020,Q3,Arunachal Pradesh,Anjaw,2226,42320,19.011680143755616
2020,Q3,Arunachal Pradesh,Lower Siang,2983,51520,17.271203486423065
2020,Q3,Arunachal Pradesh,Dibang Valley,411,4634,11.274939172749392
2020,Q3,Arunachal Pradesh,West Kameng,17636,461190,26.15048763892039
2020,Q3,Arunachal Pradesh,Shi Yomi,337,2788,8.27299703264095
2020,Q3,Arunachal Pradesh,East Kameng,3169,63062,19.899652887346164
2020,Q3,Arunachal Pradesh,Lohit,11755,264444,22.49629944704381
2020,Q3,Arunachal Pradesh,Lepa Rada,2304,47233,20.50043402777778
2020,Q3,Arunachal Pradesh,Lower Dibang Valley,6799,117752,17.319017502573907
2020,Q3,Arunachal Pradesh,Longding,3277,91330,27.870003051571558
2020,Q3,Arunachal Pradesh,West Siang,8623,158496,18.38060999652093
2020,Q3,Arunachal Pradesh,Kamle,639,12196,19.086071987480437
2020,Q3,Arunachal Pradesh,Upper Siang,3011,59246,19.67651942876121
2020,Q3,Arunachal Pradesh,Kurung Kumey,1025,18583,18.129756097560975
2020,Q3,Arunachal Pradesh,Siang,2225,42723,19.20134831460674
2020,Q3,Arunachal Pradesh,Kra Daadi,1026,29126,28.387914230019494
2020,Q3,Arunachal Pradesh,Changlang,16385,326045,19.898992981385412
2020,Q3,Arunachal Pradesh,Pakke Kessang,508,11721,23.072834645669293
2020,Q3,Arunachal Pradesh,East Siang,15921,302165,18.97902141825262
2020,Q3,Arunachal Pradesh,Upper Subansiri,5295,106598,20.131822474032106
2020,Q3,Arunachal Pradesh,Tawang,9944,224583,22.5847747385358
