Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2018,Q4,Andhra Pradesh,517507,318300,594747982.0458119,1868.5139241150232
2018,Q4,Andhra Pradesh,530003,277131,356075793.85855436,1284.86453647753
2018,Q4,Andhra Pradesh,516001,269798,572252390.1920383,2121.0401492673714
2018,Q4,Andhra Pradesh,520010,250261,492229977.1570112,1966.8665000020428
2018,Q4,Andhra Pradesh,530017,248725,326891428.60271376,1314.268483677611
2018,Q4,Andhra Pradesh,518501,248520,357423401.5571966,1438.207796383376
2019,Q1,Andhra Pradesh,530001,950821,1529039457.6419592,1608.1254596206427
2019,Q1,Andhra Pradesh,517501,922416,1244725311.4573965,1349.4186044663109
2019,Q1,Andhra Pradesh,520001,814616,1462807205.627422,1795.7015399002992
2019,Q1,Andhra Pradesh,530016,684611,960022481.5524917,1402.2890101860644
2019,Q1,Andhra Pradesh,517507,671661,1009128524.8128469,1502.4372783485223
2019,Q1,Andhra Pradesh,515001,609682,1009938283.8464416,1656.5000833982988
2019,Q1,Andhra Pradesh,518502,545426,389782596.9665674,714.6388272039973
2019,Q1,Andhra Pradesh,530003,527667,590799502.8850918,1119.644591920836
2019,Q1,Andhra Pradesh,530017,472914,531596255.9349663,1124.0865272226374
2019,Q1,Andhra Pradesh,520010,460133,774931063.0289192,1684.1458079053648
2019,Q2,Andhra Pradesh,530001,2602865,5218795715.70141,2005.0197438981315
2019,Q2,Andhra Pradesh,520001,1828617,3823390190.0922346,2090.8644019454237
2019,Q2,Andhra Pradesh,517501,949187,1669949938.5076957,1759.3476717524532
2019,Q2,Andhra Pradesh,522001,839909,1759418775.980979,2094.7730956341447
2019,Q2,Andhra Pradesh,530016,793798,1257915825.5688605,1584.6800137678106
2019,Q2,Andhra Pradesh,517507,760335,1412863012.2407691,1858.2111993276242
2019,Q2,Andhra Pradesh,515001,567306,1282118916.2094193,2260.012966916301
2019,Q2,Andhra Pradesh,530003,520142,718170914.395836,1380.7208692930699
2019,Q2,Andhra Pradesh,520010,490697,973983824.5472903,1984.8986738196695
2019,Q2,Andhra Pradesh,530017,480905,650710126.3382195,1353.094948769964
2019,Q3,Andhra Pradesh,530001,2944756,6693257653.901131,2272.9413417957653
2019,Q3,Andhra Pradesh,520001,1905190,4414503365.699517,2317.0935002280703
2019,Q3,Andhra Pradesh,517501,1434209,2203932856.2972074,1536.6887645365546
2019,Q3,Andhra Pradesh,530016,1196020,1658162548.562835,1386.4003516352861
2019,Q3,Andhra Pradesh,517507,1060513,1854927351.7366562,1749.0849727788873
2019,Q3,Andhra Pradesh,522001,1003916,2216532548.7258,2207.8864653275773
2019,Q3,Andhra Pradesh,515001,868052,1667826831.8650486,1921.344380135117
2019,Q3,Andhra Pradesh,530003,858005,970993081.1712441,1131.6869728862234
2019,Q3,Andhra Pradesh,530017,799271,911939243.0618924,1140.9637570509783
2019,Q3,Andhra Pradesh,530026,711726,1095056835.9858122,1538.593273234099
2019,Q4,Andhra Pradesh,530001,4185063,9160387223.4497,2188.8289909733016
2019,Q4,Andhra Pradesh,520001,2544877,5933007156.535349,2331.353207457708
2019,Q4,Andhra Pradesh,517501,1920211,3073084029.9256625,1600.388722867259
2019,Q4,Andhra Pradesh,530016,1591033,2295184224.145106,1442.5748706312854
2019,Q4,Andhra Pradesh,530026,1438154,2509394595.5414515,1744.8719647141068
2019,Q4,Andhra Pradesh,517507,1406768,2478459132.7705936,1761.8108549317255
2019,Q4,Andhra Pradesh,522001,1324202,2927313967.683236,2210.624940668596
2019,Q4,Andhra Pradesh,515001,1202983,2376869516.684207,1975.81305528358
2019,Q4,Andhra Pradesh,530003,1131832,1339103327.887921,1183.1290579237211
2019,Q4,Andhra Pradesh,530017,1084796,1266927471.3317952,1167.8946745118853
2020,Q1,Andhra Pradesh,530026,6695271,15258657486.862274,2279.0201452431534
2020,Q1,Andhra Pradesh,517501,2196548,3731404465.729061,1698.7584454011755
2020,Q1,Andhra Pradesh,530016,1661816,2593325339.0472875,1560.5369902848977
2020,Q1,Andhra Pradesh,517507,1554974,2719620696.0325623,1748.9814595180126
2020,Q1,Andhra Pradesh,515001,1346804,2696427930.6755033,2002.0937944017862
2020,Q1,Andhra Pradesh,530003,1159480,1519955258.5314608,1310.8938994475634
2020,Q1,Andhra Pradesh,524002,1125194,2653339803.95633,2358.1176258994715
2020,Q1,Andhra Pradesh,530017,1104748,1412381495.9440272,1278.4648589035935
2020,Q1,Andhra Pradesh,520010,1098395,2059547223.1742206,1875.0515280697932
2020,Q1,Andhra Pradesh,522001,1058410,2575723775.0488396,2433.5784573547485
2020,Q2,Andhra Pradesh,530026,4994637,12817902607.017586,2566.3331703620474
2020,Q2,Andhra Pradesh,517501,1708935,3203679955.4885287,1874.6646042643686
2020,Q2,Andhra Pradesh,517507,1575118,2854711069.441047,1812.3791801255825
2020,Q2,Andhra Pradesh,524002,1553283,3993963025.6852684,2571.304151069231
2020,Q2,Andhra Pradesh,530016,1067022,1893629834.0393307,1774.6867768793247
2020,Q2,Andhra Pradesh,516001,1066066,2616099329.3322473,2453.9750159298274
2020,Q2,Andhra Pradesh,515001,1026587,2447755903.073549,2384.362848032898
2020,Q2,Andhra Pradesh,518002,979822,2015820866.3250332,2057.3337466652447
