Year,Quarter,State,District,Count,Amount,Average Transaction
2021,Q1,Bihar,Gaya,597,370763.0,621.0435510887772
2021,Q1,Bihar,Vaishali,534,460907.0,863.1217228464419
2021,Q1,Bihar,Purbi Champaran,505,265124.0,524.9980198019801
2021,Q1,Bihar,Samastipur,500,393366.0,786.732
2021,Q1,Bihar,Darbhanga,463,321486.0,694.354211663067
2021,Q1,Bihar,Saran,459,385969.0,840.8910675381263
2021,Q1,Bihar,Madhubani,444,317538.0,715.1756756756756
2021,Q1,Bihar,Pashchim Champaran,415,255416.0,615.4602409638554
2021,Q2,Bihar,Patna,2844,2420477.0,851.0819268635724
2021,Q2,Bihar,Muzaffarpur,855,728324.0,851.8409356725147
2021,Q2,Bihar,Vaishali,611,662818.0,1084.8085106382978
2021,Q2,Bihar,Gaya,565,575770.0,1019.0619469026549
2021,Q2,Bihar,Darbhanga,559,503233.0,900.2379248658318
